month,transferred,business_unit_l3,internal_categorization_l2,company,is_stream,original_currency,new_sector_group,id,po_purchasing_group,original_amount,base_currency,category,business_unit_l4,indigenous_flag,cost_type,data_source,spendanalysis_id,subcategory,internal_categorization_l3,normalized_vendor_name,new_sector,diversity_designation,internal_categorization_l1,simple_vendor_name,company_group_system,spend_amount_attribute,vendor_number,social_enterprise_flag,commercial_status_group,date,gdw_subcat,amount,original_vendor_name,business_unit_l2,business_unit,gdw_cat,is_diverse,minority_indicator,commercial_status,channel_type,transaction_description,po_number,vendor_country,company_group,business_unit_l5,is_preferred,is_managed,impactable,include_in_savings,lost_savings_rate,compliance_status,Extra_1,Extra_2,Extra_3,Extra_4,Extra_5,Extra_6
1,0,Infra Serv - Rig & Well Services,TBC,7045,NULL,AUD,NULL,4314158,NULL,3732.110107,AUD,DIRECT,NULL,NULL,NULL,AP Data,10020,SUBCONTRACTOR - OPERATIONS & MAINTENANCE,TBC,PIRTEK PTY LTD,Infrastructure Services,NULL,TBC,PIRTEK PTY LTD,SAP & Others,100k to 350k,83132676950,NULL,NULL,31-01-2024,N/A,2449.345909,PIRTEK (ROXBY DOWNS) PTY LTD,Minerals - BHP Olympic Dam,NULL,N/A,NULL,NULL,NULL,NULL,"TEST,HYD,HOSE,1-1/4\-2\"",TEST-HYD-20/32""""",4807553949,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL,NULL,NULL,
2,0,Infra Serv - Rig & Well Services,TBC,7045,NULL,AUD,NULL,4609823,NULL,3752,AUD,IT PRODUCTS & SERVICES,NULL,NULL,NULL,AP Data,10020,IT MANAGED SERVICES,TBC,ALIVA PTY LTD,Infrastructure Services,NULL,TBC,ALIVA PTY LTD,SAP & Others,100k to 350k,41100729977,NULL,NULL,29-02-2024,IT INFRASTRUCTURE SERVICES,2438.991095,ALIVA PTY LTD,Minerals - BHP Olympic Dam,NULL,INFORMATION TECHNOLOGY,NULL,NULL,NULL,NULL,"TOUGHBOOK,55,PANASONIC,14\",MK2,"I5-1145G7"",4807526564,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL,NULL",,,,,,,,,,,,,,
1,0,Infra Serv - Rig & Well Services,CIVIL MATERIALS,7045,NULL,AUD,NULL,4502714,NULL,51080,AUD,DIRECT,NULL,NULL,NULL,AP Data,10020,BUILDING / INFRASTRUCTURE MATERIALS,BORING & DRILLING SUPPLIES,TRANSCO MFG AUSTRALIA PTY LTD,Infrastructure Services,NULL,MATERIALS,TRANSCO MFG AUSTRALIA PTY LTD,SAP & Others,100k to 350k,23008215245,NULL,NULL,31-01-2024,N/A,33523.28549,TRANSCO MFG AUSTRALIA PTY LTD,Minerals - BHP Olympic Dam,NULL,N/A,NULL,NULL,NULL,NULL,7-3/4\,STRING,STABILIZER,"W/4-1/2\"",REGPIN""""",4807604408,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,
1,0,Infra Serv - Rig & Well Services,CIVIL WORKS,7045,NULL,AUD,NULL,4331208,NULL,54.59999847,AUD,DIRECT,NULL,NULL,NULL,AP Data,10020,SUBCONTRACTOR - ENGINEERING AND CAPITAL WORKS,DRILLING & BORING,CONDAMINE DRILLING P L,Infrastructure Services,NULL,CONSTRUCTION,CONDAMINE DRILLING P L,SAP & Others,Under 100k,74009805510,NULL,NULL,31-01-2024,N/A,35.83342576,CONDAMINE DRILLING P/L,Energy Site Support,NULL,N/A,NULL,NULL,NULL,NULL,"SUPPLY,MACHINE,8\STYLE",60,VICTAULIC,"CAP"",4807413212,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL",,,,,,,,,,,,,
3,0,"Infra Serv - Resources ,Industrial Services & Environment",INDUSTRIAL,7020,NULL,AUD,NULL,4415183,NULL,424,AUD,DIRECT,NULL,NULL,NULL,AP Data,10020,BUILDING / INFRASTRUCTURE MATERIALS,WELDING CONSUMABLES,EAST COAST WELDING SUPPLIES PTY LTD,Infrastructure Services,NULL,MATERIALS,EAST COAST WELDING SUPPLIES PTY LTD,SAP & Others,Under 100k,72147574810,NULL,NULL,31-03-2024,N/A,277.0426999,EAST COAST WELDING SUPPLIES PTY LTD,Botany Indust Park,NULL,N/A,NULL,NULL,NULL,NULL,REPAIR 4 X 5\ GRINDERS,"REPLACE DAMAGED L"",4700904402,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL,NULL,NULL",,,,,,,,,,,,,,,
1,0,Infra Serv - Rig & Well Services,SAFETY SUPPLIES,7045,NULL,AUD,NULL,4500607,NULL,292.3999939,AUD,FACILITIES MANAGEMENT & MAINTENANCE,NULL,NULL,NULL,AP Data,10020,GENERAL HARDWARE,SAFETY CONSUMABLES,J BLACKWOOD AND SON LTD,Infrastructure Services,NULL,MATERIALS,J BLACKWOOD AND SONS LTD,SAP & Others,Over 350k,43000010300,NULL,NULL,31-01-2024,GENERAL INDUSTRIAL SUPPLIES,191.8991519,J BLACKWOOD & SONS LTD,Minerals - BHP Olympic Dam,NULL,MRO,NULL,NULL,NULL,NULL,"GASKET,INSERT,1/8\",F/FACE,"10\"",01052507""""",4807565164,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL,
1,0,Infra Serv - Rig & Well Services,TBC,7045,NULL,AUD,NULL,4417981,NULL,-1862.099976,AUD,DIRECT,NULL,NULL,NULL,AP Data,10020,SUBCONTRACTOR - OPERATIONS & MAINTENANCE,TBC,PIRTEK PTY LTD,Infrastructure Services,NULL,TBC,PIRTEK PTY LTD,SAP & Others,100k to 350k,83132676950,NULL,NULL,31-01-2024,N/A,-1222.077328,PIRTEK (ROXBY DOWNS) PTY LTD,Minerals - BHP Olympic Dam,NULL,N/A,NULL,NULL,NULL,NULL,"TEST,HYD,HOSE,1-1/4\-2\"",TEST-HYD-20/32""""",4807553967,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL,NULL,NULL,
2,0,Transport - Infrastructure Solutions,ENGINEERING SERVICES,7025,NULL,AUD,NULL,4340242,NULL,358,AUD,DIRECT,NULL,NULL,NULL,AP Data,10020,SUBCONTRACTOR - NETWORK DESIGN AND BUILD,ENGINEERING CONSULTANTS,OPTICAL SOLUTIONS AUSTRALIA,Transport,NULL,CONSTRUCTION,OPTICAL SOLUTIONS PTY LT,SAP & Others,Over 350k,85111683357,NULL,NULL,29-02-2024,N/A,232.7182335,OPTICAL SOLUTIONS (VICTORIA) PTY LT,Victrack O&M,NULL,N/A,NULL,NULL,NULL,NULL,\FOSC400A4-24-1-NNV CLOSURE WITH DOME," B"",4700884082,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL,NULL,NULL",,,,,,,,,,,,,,,
3,0,Infra Serv - Rig & Well Services,EQUIPMENT HIRE,7045,NULL,AUD,NULL,4314657,NULL,5922.899902,AUD,EQUIPMENT,NULL,NULL,NULL,AP Data,10020,EQUIPMENT RENTAL,GENERAL PLANT HIRE (DRY),AIRDRILL PTY LTD,Infrastructure Services,NULL,ASSET MANAGEMENT,AIRDRILL PTY LTD,SAP & Others,Under 100k,68109184447,NULL,NULL,31-03-2024,EQUIPMENT RENTAL,3870.038224,AIRDRILL PTY LTD,Minerals - BHP Olympic Dam,NULL,MRO,NULL,NULL,NULL,NULL,"WEAR,INSERT,4.5\","AD27-011"",4807599209,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL,NULL,NULL",,,,,,,,,,,,,,,
2,0,Infra Serv - Rig & Well Services,TBC,7045,NULL,AUD,NULL,4420809,NULL,3662.379883,AUD,DIRECT,NULL,NULL,NULL,AP Data,10020,SUBCONTRACTOR - OPERATIONS & MAINTENANCE,TBC,PIRTEK PTY LTD,Infrastructure Services,NULL,TBC,PIRTEK PTY LTD,SAP & Others,100k to 350k,83132676950,NULL,NULL,29-02-2024,N/A,2380.73353,PIRTEK (ROXBY DOWNS) PTY LTD,Minerals - BHP Olympic Dam,NULL,N/A,NULL,NULL,NULL,NULL,"TEST,HYD,HOSE,1-1/4\-2\"",TEST-HYD-20/32""""",4807553967,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL,NULL,NULL,
1,0,Telco - Wireless and Special Coverage Solutions,FABRICATION & WELDING,7025,NULL,AUD,NULL,4479109,NULL,2390,AUD,MRO,NULL,NULL,NULL,AP Data,10020,INDUSTRIAL METAL SUPPLIES,GALVANISING,INDUSTRIAL GALVANIZERS CORPORATION,Telecommunications,NULL,FM - HARD SERVICES,INDUSTRIAL GALVANIZERS CORPORATION,SAP & Others,Over 350k,40000545415,NULL,NULL,31-01-2024,GENERAL INDUSTRIAL SUPPLIES,1568.532739,INDUSTRIAL GALVANIZERS CORPORATION,NBN Wireless,NULL,MRO,NULL,NULL,NULL,NULL,\RECTIFICATION FIX 3 X 76 PIPE ," 2M LONG"",4700835537,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL,NULL,NULL",,,,,,,,,,,,,,,
1,0,Transport - Infrastructure Solutions,EQUIPMENT HIRE,7020,NULL,AUD,NULL,4589477,NULL,1013,AUD,EQUIPMENT,NULL,NULL,NULL,AP Data,10020,EQUIPMENT RENTAL,GENERAL EQUIPMENT HIRE,BERENDSEN FLUID POWER PTY LTD,Transport,NULL,ASSET MANAGEMENT,BERENDSEN FLUID POWER PTY LTD,SAP & Others,100k to 350k,29058390382,NULL,NULL,31-01-2024,EQUIPMENT RENTAL,664.8216171,BERENDSEN FLUID POWER PTY LTD,Rail Projects Group,NULL,MRO,NULL,NULL,NULL,NULL,"MALE 14T 1.1/4\ - FEMALE 11T 3/4\"",45MM L""""",4700874483,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL,NULL,NULL,
1,0,Telco - Fixed Network,TELCO & WIRELESS,7025,NULL,AUD,NULL,4344998,NULL,15.09000015,AUD,DIRECT,NULL,NULL,NULL,AP Data,10020,SUBCONTRACTOR - NETWORK DESIGN AND BUILD,OTHER WORKS ON OPTICAL FIBRE CABLE,WARREN AND BROWN,Telecommunications,NULL,CONSTRUCTION,WARREN AND BROWN,SAP & Others,Over 350k,15967688916,NULL,NULL,31-01-2024,N/A,9.90341382,WARREN & BROWN,Telstra TELEPOWER,NULL,N/A,NULL,NULL,NULL,NULL,"KIT,19-21\ ADAPTOR BLACK 1RU"," WARREN AND"",4700873552,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL,NULL,NULL",,,,,,,,,,,,,,,
2,0,Telco - Fixed Network,TELCO & WIRELESS,7025,NULL,AUD,NULL,4560111,NULL,15.09000015,AUD,DIRECT,NULL,NULL,NULL,AP Data,10020,SUBCONTRACTOR - NETWORK DESIGN AND BUILD,OTHER WORKS ON OPTICAL FIBRE CABLE,WARREN AND BROWN,Telecommunications,NULL,CONSTRUCTION,WARREN AND BROWN,SAP & Others,Over 350k,15967688916,NULL,NULL,29-02-2024,N/A,9.80926856,WARREN & BROWN,Telstra TELEPOWER,NULL,N/A,NULL,NULL,NULL,NULL,"KIT,19-21\ ADAPTOR BLACK 1RU"," WARREN AND"",4700882324,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL,NULL,NULL",,,,,,,,,,,,,,,
2,0,Telco - Fixed Network,TELCO & WIRELESS,7025,NULL,AUD,NULL,4486754,NULL,15.09000015,AUD,DIRECT,NULL,NULL,NULL,AP Data,10020,SUBCONTRACTOR - NETWORK DESIGN AND BUILD,OTHER WORKS ON OPTICAL FIBRE CABLE,WARREN AND BROWN,Telecommunications,NULL,CONSTRUCTION,WARREN AND BROWN,SAP & Others,Over 350k,15967688916,NULL,NULL,29-02-2024,N/A,9.80926856,WARREN & BROWN,Telstra TELEPOWER,NULL,N/A,NULL,NULL,NULL,NULL,"KIT,19-21\ ADAPTOR BLACK 1RU"," WARREN AND"",4700895744,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL,NULL,NULL",,,,,,,,,,,,,,,
2,0,Telco - Fixed Network,TELCO & WIRELESS,7025,NULL,AUD,NULL,4433389,NULL,15.09000015,AUD,DIRECT,NULL,NULL,NULL,AP Data,10020,SUBCONTRACTOR - NETWORK DESIGN AND BUILD,OTHER WORKS ON OPTICAL FIBRE CABLE,WARREN AND BROWN,Telecommunications,NULL,CONSTRUCTION,WARREN AND BROWN,SAP & Others,Over 350k,15967688916,NULL,NULL,29-02-2024,N/A,9.80926856,WARREN & BROWN,Telstra TELEPOWER,NULL,N/A,NULL,NULL,NULL,NULL,"KIT,19-21\ ADAPTOR BLACK 1RU"," WARREN AND"",4700880550,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL,NULL,NULL",,,,,,,,,,,,,,,
1,0,Telco - Fixed Network,TELCO & WIRELESS,7025,NULL,AUD,NULL,4509232,NULL,30.18000031,AUD,DIRECT,NULL,NULL,NULL,AP Data,10020,SUBCONTRACTOR - NETWORK DESIGN AND BUILD,OTHER WORKS ON OPTICAL FIBRE CABLE,WARREN AND BROWN,Telecommunications,NULL,CONSTRUCTION,WARREN AND BROWN,SAP & Others,Over 350k,15967688916,NULL,NULL,31-01-2024,N/A,19.80682765,WARREN & BROWN,Telstra TELEPOWER,NULL,N/A,NULL,NULL,NULL,NULL,"KIT,19-21\ ADAPTOR BLACK 1RU"," WARREN AND"",4700873319,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL,NULL,NULL",,,,,,,,,,,,,,,
3,0,Telco - Wireless and Special Coverage Solutions,TELCO & WIRELESS,7025,NULL,AUD,NULL,4521319,NULL,3880,AUD,DIRECT,NULL,NULL,NULL,AP Data,10020,SUBCONTRACTOR - NETWORK DESIGN AND BUILD,TELCO RIGGING,FUTURE ENGINEERING AND COMMUNICATION,Telecommunications,NULL,CONSTRUCTION,FUTURE ENGINEERING AND COMMUNICATION,SAP & Others,Over 350k,73037646279,NULL,NULL,31-03-2024,N/A,2535.202065,FUTURE ENGINEERING & COMMUNICATION,NBN Wireless,NULL,N/A,NULL,NULL,NULL,NULL,\SUPPLY FOT ARNDELL PARK," NSW THE FOLLOW"",4700899376,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL,NULL,NULL",,,,,,,,,,,,,,,
1,0,Telco - Fixed Network,TELCO & WIRELESS,7025,NULL,AUD,NULL,4344999,NULL,27,AUD,DIRECT,NULL,NULL,NULL,AP Data,10020,SUBCONTRACTOR - NETWORK DESIGN AND BUILD,OTHER WORKS ON OPTICAL FIBRE CABLE,WARREN AND BROWN,Telecommunications,NULL,CONSTRUCTION,WARREN AND BROWN,SAP & Others,Over 350k,15967688916,NULL,NULL,31-01-2024,N/A,17.71982593,WARREN & BROWN,Telstra TELEPOWER,NULL,N/A,NULL,NULL,NULL,NULL,"KIT,19-21\ ADAPTOR BLACK 1RU"," WARREN AND"",4700866281,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL,NULL,NULL",,,,,,,,,,,,,,,
5,0,Infra Serv - Rig & Well Services,ENGINEERING,7045,NULL,AUD,NULL,3360664,NULL,10557,AUD,DIRECT,NULL,NULL,NULL,AP Data,8789,BUILDING / INFRASTRUCTURE MATERIALS,ENGINEERING,OX ENGINEERING P L,Infrastructure Services,NULL,FACILITIES MANAGEMENT,OX ENGINEERING P L,SAP & Others,Over 350k,28122920183,NULL,NULL,31-05-2023,N/A,6868.534928,OX ENGINEERING P/L,Minerals - BHP Coal,NULL,N/A,NULL,NULL,NULL,NULL,"STUFFING,BOX,12\",HYDRAULIC,"120-005-001"",4806683230,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL,NULL",,,,,,,,,,,,,,
12,0,Infra Serv - Rig & Well Services,CIVIL WORKS,7045,NULL,AUD,NULL,4109307,NULL,7192.140137,AUD,DIRECT,NULL,NULL,NULL,AP Data,9654,SUBCONTRACTOR - ENGINEERING AND CAPITAL WORKS,DRILLING & BORING,CONDAMINE DRILLING P L,Infrastructure Services,NULL,CONSTRUCTION,CONDAMINE DRILLING P L,SAP & Others,Under 100k,74009805510,NULL,NULL,31-12-2023,N/A,4899.277929,CONDAMINE DRILLING P/L,Energy Site Support,NULL,N/A,NULL,NULL,NULL,NULL,"SUPPLY,MACHINE,8\STYLE",60,VICTAULIC,"CAP"",4807413212,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL",,,,,,,,,,,,,
1,0,Infra Serv - Rig & Well Services,ROAD FREIGHT,7045,NULL,AUD,NULL,3196918,NULL,4680,AUD,DIRECT,NULL,NULL,NULL,AP Data,8508,BUILDING / INFRASTRUCTURE MATERIALS,TBC,METZKE P L,Infrastructure Services,NULL,SUPPLY CHAIN,METZKE P L,SAP & Others,100k to 350k,94147985206,NULL,NULL,31-01-2023,N/A,3299.866947,METZKE P/L,Minerals - BHP Coal,NULL,N/A,NULL,NULL,NULL,NULL,"LINER,SLIPS,3\","100014710"",4806652517,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL,NULL,NULL",,,,,,,,,,,,,,,
4,0,Infra Serv - Rig & Well Services,MACHINERY & ASSETS,7045,NULL,AUD,NULL,3327627,NULL,1596,AUD,DIRECT,NULL,NULL,NULL,AP Data,8789,BUILDING / INFRASTRUCTURE MATERIALS,MACHINERY & ASSETS,ABC PRODUCTS ROCKY PTY LTDABC PRODUCTS PTY LTD,Infrastructure Services,NULL,ASSET MANAGEMENT,ABC PRODUCTS ROCKY PTY LTD,SAP & Others,Over 350k,85100303197,NULL,NULL,30-04-2023,N/A,1054.979922,ABC PRODUCTS ROCKY PTY LTD,Minerals - BHP Coal,NULL,N/A,NULL,NULL,NULL,NULL,"WIPERS,PIPE 2-1/4\","DRRUB02"",4806700802,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL,NULL,NULL",,,,,,,,,,,,,,,
6,0,Telco - Operations & Services,ELECTRICAL,7025,NULL,AUD,NULL,3649876,NULL,369.7600098,AUD,MRO,NULL,NULL,NULL,AP Data,8789,ELECTRICAL SUPPLIES,ELECTRICAL CONSUMABLES,LAWRENCE AND HANSON GROUP PTY LTD,Telecommunications,NULL,MATERIALS,LAWRENCE AND HANSON GROUP PTY LTD,SAP & Others,Over 350k,69080350812,NULL,NULL,30-06-2023,ELECTRICAL SUPPLIES,246.3670587,LAWRENCE & HANSON GROUP PTY LTD,Telstra FDC,NULL,MRO,NULL,NULL,NULL,NULL,REDUCER 2RU - 21 TO 19\," ALH"",4700714054,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL,NULL,NULL",,,,,,,,,,,,,,,
9,0,D&SI - Defence,NULL,7020,NULL,AUD,NULL,3983373,NULL,5250,AUD,MRO,NULL,NULL,NULL,AP Data,9199,ELECTRICAL SUPPLIES,NULL,ELECTARGET,Defence & Social Infrastructure,NULL,NULL,ELECTARGET,SAP & Others,Over 350k,37102973606,NULL,NULL,30-09-2023,ELECTRICAL SUPPLIES,3374.695313,ELECTARGET (WA),Defence Base Service,NULL,MRO,NULL,NULL,NULL,NULL,WINDOWS SURFACE LAPTOP 13.5\ 7," PORT EXP"",4700814501,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL,NULL,NULL",,,,,,,,,,,,,,,
10,0,Infra Serv - Rig & Well Services,TBC,7020,NULL,AUD,NULL,4031863,NULL,683.539978,AUD,DIRECT,NULL,NULL,NULL,AP Data,9654,SUBCONTRACTOR - OPERATIONS & MAINTENANCE,TBC,PIRTEK PTY LTD,Infrastructure Services,NULL,TBC,PIRTEK PTY LTD,SAP & Others,100k to 350k,83132676950,NULL,NULL,31-10-2023,N/A,433.1545685,PIRTEK (ROXBY DOWNS) PTY LTD,Minerals - BMH Operations,NULL,N/A,NULL,NULL,NULL,NULL,"THROTTLE,SHUTOFF,VLV,G1/4\",MAX,"350BAR"",4807523725,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL,NULL",,,,,,,,,,,,,,
12,0,"Infra Serv - Resources ,Industrial Services & Environment",EQUIPMENT HIRE,7020,NULL,AUD,NULL,4151051,NULL,86.91000366,AUD,EQUIPMENT,NULL,NULL,NULL,AP Data,9654,EQUIPMENT RENTAL,GENERAL PLANT HIRE (DRY),COATES HIRE OPERATIONS PTY LTD,Infrastructure Services,NULL,ASSET MANAGEMENT,COATES HIRE OPERATIONS PTY LTD,SAP & Others,Over 350k,99074126971,NULL,NULL,31-12-2023,EQUIPMENT RENTAL,59.20299728,COATES HIRE OPERATIONS PTY LIMITED,Project Services,NULL,MRO,NULL,NULL,NULL,NULL,1\DRIVE AIR IMPACT GUN ,"3 DAYS HIRE"",4700833932,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL,NULL,NULL",,,,,,,,,,,,,,,
8,0,Infra Serv - Rig & Well Services,ENGINEERING,7045,NULL,AUD,NULL,3794863,NULL,1776.599976,AUD,DIRECT,NULL,NULL,NULL,AP Data,9199,BUILDING / INFRASTRUCTURE MATERIALS,ENGINEERING,OX ENGINEERING P L,Infrastructure Services,NULL,FACILITIES MANAGEMENT,OX ENGINEERING P L,SAP & Others,Over 350k,28122920183,NULL,NULL,31-08-2023,N/A,1152.358294,OX ENGINEERING P/L,Minerals - BHP Olympic Dam,NULL,N/A,NULL,NULL,NULL,NULL,"CYLINDER,HYD,HC,SER,1.5\X4\"",DUAL,PORT""""",4807256389,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL,NULL,,
12,0,Infra Serv - Rig & Well Services,TBC,7045,NULL,AUD,NULL,4258991,NULL,7224.069824,AUD,DIRECT,NULL,NULL,NULL,AP Data,9654,SUBCONTRACTOR - ENGINEERING AND CAPITAL WORKS,TBC,EPIROC AUSTRALIA PTY LTD,Infrastructure Services,NULL,TBC,EPIROC AUSTRALIA PTY LTD,SAP & Others,100k to 350k,NULL,NULL,NULL,31-12-2023,N/A,4921.02861,EPIROC AUSTRALIA PTY LTD,Minerals - BHP Olympic Dam,NULL,N/A,NULL,NULL,NULL,NULL,"WASHER,SPRINGS,7/16\",ZP,"AD09-003"",4807526221,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL,NULL",,,,,,,,,,,,,,
9,0,Infra Serv - Rig & Well Services,FUEL SYSTEMS MAINTENANCE,7045,NULL,AUD,NULL,3836573,NULL,1858.97998,AUD,DIRECT,NULL,NULL,NULL,AP Data,9199,SUBCONTRACTOR - OPERATIONS & MAINTENANCE,FUEL SYSTEMS MAINTENANCE,PIRTEK PTY LTD,Infrastructure Services,NULL,ASSET MANAGEMENT,PIRTEK PTY LTD,SAP & Others,100k to 350k,83132676950,NULL,NULL,30-09-2023,N/A,1194.950684,PIRTEK (ROXBY DOWNS) PTY LTD,Minerals - BHP Olympic Dam,NULL,N/A,NULL,NULL,NULL,NULL,"TEST,HYD,HOSE,1.1/4\TO2\"",TEST-HYD-20/32""""",4807400295,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL,NULL,NULL,
5,0,Infra Serv - Rig & Well Services,FUEL SYSTEMS MAINTENANCE,7045,NULL,AUD,NULL,3326597,NULL,47.5,AUD,DIRECT,NULL,NULL,NULL,AP Data,8789,SUBCONTRACTOR - OPERATIONS & MAINTENANCE,FUEL SYSTEMS MAINTENANCE,PIRTEK PTY LTD,Infrastructure Services,NULL,ASSET MANAGEMENT,PIRTEK PTY LTD,SAP & Others,100k to 350k,83132676950,NULL,NULL,31-05-2023,N/A,30.90417818,PIRTEK (ROXBY DOWNS) PTY LTD,Minerals - BHP Olympic Dam,NULL,N/A,NULL,NULL,NULL,NULL,"POLY,CORESSION,32MM,TO,2\","THREAD"",4807024477,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL,NULL,NULL",,,,,,,,,,,,,,,
4,0,Infra Serv - Rig & Well Services,NULL,7045,NULL,AUD,NULL,3338704,NULL,1661.880005,AUD,MRO,NULL,NULL,NULL,AP Data,8789,"PIPES, VALVES & FITTINGS",NULL,SUMMIT OILFIELD SUPPLIES PTY LTD,Infrastructure Services,NULL,NULL,SUMMIT OILFIELD SUPPLIES PTY LTD,SAP & Others,Under 100k,92654489175,NULL,NULL,30-04-2023,INDUSTRIAL PVF,1098.527589,SUMMIT OILFIELD SUPPLIES PTY LTD,Minerals - BHP Olympic Dam,NULL,MRO,NULL,NULL,NULL,NULL,"PKG,SSY,4.50\",SOFT,CMNT,GS,"P139825"",4806930111,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL",,,,,,,,,,,,
11,0,Infra Serv - Rig & Well Services,TBC,7045,NULL,AUD,NULL,4002350,NULL,1862.099976,AUD,DIRECT,NULL,NULL,NULL,AP Data,9654,SUBCONTRACTOR - OPERATIONS & MAINTENANCE,TBC,PIRTEK PTY LTD,Infrastructure Services,NULL,TBC,PIRTEK PTY LTD,SAP & Others,100k to 350k,83132676950,NULL,NULL,30-11-2023,N/A,1230.103549,PIRTEK (ROXBY DOWNS) PTY LTD,Minerals - BHP Olympic Dam,NULL,N/A,NULL,NULL,NULL,NULL,"TEST,HYD,HOSE,1-1/4\-2\"",TEST-HYD-20/32""""",4807553946,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL,NULL,NULL,
12,0,Infra Serv - Rig & Well Services,TBC,7045,NULL,AUD,NULL,4296318,NULL,122.4000015,AUD,DIRECT,NULL,NULL,NULL,AP Data,9654,SUBCONTRACTOR - ENGINEERING AND CAPITAL WORKS,TBC,EPIROC AUSTRALIA PTY LTD,Infrastructure Services,NULL,TBC,EPIROC AUSTRALIA PTY LTD,SAP & Others,100k to 350k,NULL,NULL,NULL,31-12-2023,N/A,83.37874659,EPIROC AUSTRALIA PTY LTD,Minerals - BHP Olympic Dam,NULL,N/A,NULL,NULL,NULL,NULL,"VALVE,CHECK,NPTF,3/4\","AD49-004"",4807452999,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL,NULL,NULL",,,,,,,,,,,,,,,
12,0,Infra Serv - Rig & Well Services,FABRICATION & WELDING,7045,NULL,AUD,NULL,3994395,NULL,2332,AUD,DIRECT,NULL,NULL,NULL,AP Data,9654,BUILDING / INFRASTRUCTURE MATERIALS,METAL FABRICATION,OX ENGINEERING P L,Infrastructure Services,NULL,FM - HARD SERVICES,OX ENGINEERING P L,SAP & Others,Over 350k,28122920183,NULL,NULL,31-12-2023,N/A,1588.555858,OX ENGINEERING P/L,Minerals - BHP Olympic Dam,NULL,N/A,NULL,NULL,NULL,NULL,"SPANNER,ROD,AIR,4.5\X102MMX42MM","AF"",4807604415,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL,NULL,NULL",,,,,,,,,,,,,,,
10,0,Infra Serv - Rig & Well Services,TBC,7045,NULL,AUD,NULL,4006634,NULL,4027.419922,AUD,DIRECT,NULL,NULL,NULL,AP Data,9654,SUBCONTRACTOR - OPERATIONS & MAINTENANCE,TBC,PIRTEK PTY LTD,Infrastructure Services,NULL,TBC,PIRTEK PTY LTD,SAP & Others,100k to 350k,83132676950,NULL,NULL,31-10-2023,N/A,2552.148188,PIRTEK (ROXBY DOWNS) PTY LTD,Minerals - BHP Olympic Dam,NULL,N/A,NULL,NULL,NULL,NULL,"TEST,HYD,HOSE,1.1/4\TO2\"",TEST-HYD-20/32""""",4807479629,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL,NULL,NULL,
